13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,22A,22B,22C,23A,23B,23C,,,,
,,,,,,,,+,r,+,+,,r,,,,,,,,,,,,+,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,
,,,,+,,,1,,,,,,,,+,1,,,,,,+,,,,,,,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,+,1,,2,2,1,1,2,2,+,+,+,1,1,2,+,1,2,,,1,,,,,+,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+,,,+,,1,1,+,+,+,1,,+,1,+,+,,,,,+,,+,,,,,+,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,+,,,,+,2,+,,,,,1,+,,1,1,1,3,2,,,,,
,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,+,+,1,1,,,r,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,+,,1,,,,,,,,,,,,,,,,,,+,,,,
,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,1,+,1,1,1,,+,2,+,+,1,+,,1,,,,,+,,,,,,+,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,+,1,2,1,+,1,,1,1,+,,,,,,,,+,+,,,,,,,,,,
+,,,,,1,+,,,+,,+,,+,+,+,,,,,,+,,,1,+,1,1,1,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,2,2,+,,+,,,+,1,+,2,2,+,1,+,,,1,,,1,,,,
,,,,,,+,,,,,,,,,1,,,,,,,,,,,,,,+,,,,
,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,+,,r,,,,,,,r,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,+,+,+,,,,,+,+,,,,,,,1,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,+,,,3,,2,+,1,1,2,,,,,,,1,,,,,,+,+,,,,
,,,,,,+,1,,,,,,,,,,,,,,,,,,,,,,,,,,
+,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,1,,,,+,+,,,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,
,,,1,,+,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,
,,,,,,1,1,,+,,,,,,,,+,,,,+,,+,,,,,,2,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,+,,,,,1,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,3,1,1,,,1,,+,1,2,1,2,3,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,1,,,,,,,,,3,,,,,+,+,,,,,
,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,r,,,,,,,,,,,,+,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
+,+,,,,1,2,1,+,,+,1,1,2,1,+,+,+,,,,+,+,,+,,r,,+,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,r,,,,,,,,
,,,,,,,1,+,,,,,,,,,,,,,+,,,,,,,,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,2,,,,,,,+,1,,,,+,,,,,+,+,,,,,,,,
,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,1,1,,,,,
,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,+,,+,,,,,,,,r,,,,,,,,,r,,,,1,,,,
,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,+,r,+,r,,,,,,+,,,,,,,,,,,+,1,,,,
,,,,,,+,,+,,1,+,,,,3,,,+,,+,,,,,,,,,+,,,,
,,,,,,,,1,,,,,+,,,,,,,,,,,1,,1,,,,,,,
,,,,,,+,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,,+,1,,+,+,,,,1,r,+,1,3,1,+,+,,,,,1,,,,,,+,,,,,
,,,,,,+,1,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,4,,,3,,,,,,,,1,,,,,,,,5,2,1,,2,3,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,r,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,2,,1,+,1,,+,+,2,1,1,,1,+,,3,,,,+,,+,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,,,,+,+,,,,,,,,,,1,1,1,,,,,,,,,,+,1,,,,,
,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,+,,1,,,,,,+,,,,,,,+,,,,,,,+,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+,+,2,,,,,,,+,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,1,+,2,,,,,,,,,,,,,,,,,,,,,+,,,,
,,,,,,,,,1,,,,,,1,,,,,,+,+,,,,,,,1,,,,
,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,+,1,,,1,,,,,,1,,,,,,,+,+,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
+,+,1,,,+,+,1,+,,,,,+,,,+,,,,,1,+,+,+,+,1,+,+,+,,,,
+,,,,,+,+,+,+,+,+,1,+,1,+,+,,,,,,,+,,,,+,,1,,,,,
